,Unnamed: 0,영화명,감독,제작사,수입사,배급사,개봉일,개봉월,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우1,배우2,배우3
985,683,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,6,미국,964,5237525,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=월드 워 Z%09&section=all&ie=utf8,8.2,브래드피트,미레유에노스,
986,741,팅커 테일러 솔저 스파이,토마스 알프레드슨,,(주)화인픽쳐스,팝엔터테인먼트,2012-02-09,2,영국,187,87155,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=팅커 테일러 솔저 스파이%09&section=all&ie=utf8,8.2,톰하디,게리올드만,베네딕트컴버배치
987,1050,577 프로젝트,이근우,"(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)숲 엔터테인먼트",,필라멘트픽쳐스,2012-08-30,8,한국,191,96079,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=577 프로젝트%09&section=all&ie=utf8,8.2,공효진,하정우,
988,325,서약,마이클 수치,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-14,3,미국,314,239483,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=서약%09&section=all&ie=utf8,8.21,,,
989,497,디스 민즈 워,맥지,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-02-29,2,미국,351,873396,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=디스 민즈 워%09&section=all&ie=utf8,8.21,리즈위더스푼,크리스파인,톰하디
990,673,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,11,미국,1431,4666993,어드벤처,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=신비한 동물사전%09&section=all&ie=utf8,8.21,에디레드메인,캐서린워터스턴,콜린파렐
991,1235,좋아해줘,박현진,"리양필름주식회사,(주)제이케이필름",,씨제이이앤엠(주),2016-02-17,2,한국,637,848148,멜로/로맨스,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=좋아해줘%09&section=all&ie=utf8,8.21,이미연,최지우,김주혁
992,409,클라우드 아틀라스,"앤디 워쇼스키,라나 워쇼스키,톰 티크베어",,블루미지,(주)넥스트엔터테인먼트월드(NEW),2013-01-09,1,미국,382,449071,SF,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=클라우드 아틀라스%09&section=all&ie=utf8,8.22,,,
993,534,스타트렉 비욘드,저스틴 린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-08-17,8,미국,716,1157472,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=스타트렉 비욘드%09&section=all&ie=utf8,8.22,크리스파인,사이먼페그,조샐다나
994,551,해피 데스데이,크리스토퍼 랜던,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-11-08,11,미국,714,1382480,공포(호러),15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=해피 데스데이%09&section=all&ie=utf8,8.22,제시카로테,이스라엘브로우사드,
995,951,슈퍼미니,"토마스 자보,헬레네 지라드",,판씨네마(주),판씨네마(주),2014-04-10,4,프랑스,303,89328,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=슈퍼미니%09&section=all&ie=utf8,8.22,,,
996,1140,싱글라이더,이주영,(주)퍼펙트스톰필름,,워너브러더스 코리아(주),2017-02-22,2,한국,576,351276,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=싱글라이더%09&section=all&ie=utf8,8.22,이병헌,공효진,안소희
997,1332,나의 PS 파트너 ,변성현,나의PS파트너 문화산업전문회사,,씨제이이앤엠(주),2012-12-06,12,한국,552,1823116,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=나의 PS 파트너 %09&section=all&ie=utf8,8.22,지성,김아중,
998,1400,포화속으로,이재한,"(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스",,롯데쇼핑㈜롯데엔터테인먼트,2010-06-16,6,한국,736,3385706,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=포화속으로%09&section=all&ie=utf8,8.22,차승원,권상우,T.O.P
999,9,피노키오의 모험,안나 저스티스,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-09-18,9,독일,54,14557,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=피노키오의 모험%09&section=all&ie=utf8,8.23,마리오아도프,아론키지오프,
1000,554,말레피센트,로버트 스트롬버그,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-05-29,5,미국,554,1397526,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=말레피센트%09&section=all&ie=utf8,8.23,안젤리나졸리,엘르패닝,샬토코플리
1001,564,오블리비언,조셉 코신스키,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-04-11,4,미국,634,1515356,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=오블리비언%09&section=all&ie=utf8,8.23,톰크루즈,모건프리먼,올가쿠릴렌코
1002,589,컨저링 2,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-06-09,6,미국,635,1926201,공포(호러),15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=컨저링 2%09&section=all&ie=utf8,8.23,베라파미가,패트릭윌슨,프란시스오코너
1003,597,인투 더 스톰,스티븐 쿼일,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-08-28,8,미국,585,2078492,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=인투 더 스톰%09&section=all&ie=utf8,8.23,리처드아미티지,사라웨인콜리스,맷월쉬
1004,713,화이트 고릴라,안드레스 G. 슈에,,(주)소나무픽쳐스,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",2013-10-31,10,스페인,182,71796,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=화이트 고릴라%09&section=all&ie=utf8,8.23,카이스트로인크,누리아트리폴,
