영화명,개봉일,상영횟수,상영점유율
좋아서 만든 영화,2009-12-17,60,0.00 
사람을 찾습니다,2009-12-17,60,0.00 
제2회 서울국제초단편영상제,2010-11-05,60,0.00 
이번 일요일에,2010-03-04,57,0.00 
여행자,2009-10-29,57,0.00 
멘탈,2010-04-08,57,0.00 
미스터좀비,2010-08-26,56,0.00 
바람_감독판,,54,0.00 
그녀에게,2010-05-13,54,0.00 
홍길동의 후예,2009-11-26,53,0.00 
페이퍼 하트,2010-09-02,52,0.00 
시간의 춤,2009-12-03,52,0.00 
똥파리,2009-04-16,51,0.00 
카페 서울,2010-01-02,51,0.00 
왠 유어 스트레인지,2010-12-23,51,0.00 
마스무라 야스조 걸작선,,50,0.00 
이타미 주조 감독 회고전,,50,0.00 
청담보살,2009-11-11,50,0.00 
사랑활동의 내구성,2010-11-04,48,0.00 
제8회 기독교 영화제,2010-10-21,48,0.00 
브로큰 임브레이스,2009-11-19,48,0.00 
페데리코 펠리니 회고전,,47,0.00 
엘리아 카잔 특별전,,47,0.00 
코러스,2005-03-03,47,0.00 
엘라의 계곡,2009-12-10,47,0.00 
시네마 상상마당 세 번째 음악영화제,,46,0.00 
첩혈쌍웅,1989-07-29,45,0.00 
더티댄싱,1988-01-01,45,0.00 
패밀리마트,2010-11-25,45,0.00 
백야행,2009-11-19,44,0.00 
하쿠나 마타타 - 지라니 이야기,2010-12-09,43,0.00 
오시마 나기사 회고전,,43,0.00 
시티 오브 크레인,2010-05-06,43,0.00 
제1회 창작과나눔영화제,2010-06-03,43,0.00 
에반게리온 : 서(序),2008-01-24,43,0.00 
퀸 락 몬트리올,2009-07-30,43,0.00 
벤허,1972-09-07,41,0.00 
경계도시,,40,0.00 
식객,2007-11-01,40,0.00 
스트랠라,,39,0.00 
파주,2009-10-28,39,0.00 
팔레르모 슈팅,2010-04-22,37,0.00 
작은 영웅 데스페로,2009-02-12,37,0.00 
아이 노우 유 노우,2010-05-04,37,0.00 
제4회 대단한 단편영화제,,36,0.00 
2010 러시아 모스필름 회고전,,36,0.00 
렛 미 인,2008-11-13,35,0.00 
인플루언스,2010-08-19,35,0.00 
알제리 전투,2009-10-15,35,0.00 
나를 둘러싼 것들,2010-11-11,34,0.00 
지옥의 묵시록 : 리덕스,2001-08-30,34,0.00 
집행자,2009-11-05,34,0.00 
대한 아트 필름 페스티발-Let There Be Love,2010-04-01,34,0.00 
네이키드 보이즈 싱잉,2010-02-01,33,0.00 
이터널 선샤인,2005-11-10,33,0.00 
윌로우 트리,2010-04-29,33,0.00 
자전거 드림,,32,0.00 
봄 여름 가을 겨울 그리고 봄,2003-09-19,32,0.00 
낮은데로 임하소서,1982-06-26,32,0.00 
제11회 멕시코 영화제,,31,0.00 
기적,1972-12-23,31,0.00 
스페인 영화제 2010 (페드로 알모도바르 특별전),,31,0.00 
철부지 아씨,1968-03-14,31,0.00 
2010 한-EU단편영화 교류전,2010-08-05,31,0.00 
스케이트 오어 다이,2010-10-21,30,0.00 
인디포럼 2010,,30,0.00 
2009 광주국제영화제,,30,0.00 
오페라-카르멘(메트로폴리탄),2010-04-04,30,0.00 
시네마 상상마당 가족영화열전,,29,0.00 
만다라,1981-09-12,29,0.00 
바바라 해머 회고전,,29,0.00 
"60년전, 사선에서",2010-06-24,29,0.00 
워낭소리,2009-01-15,28,0.00 
북극의 눈물,2009-10-15,28,0.00 
인디애니유랑단 2010,,28,0.00 
누구를 위하여 종은 울리나,1972-03-18,27,0.00 
불륜의 시간,2010-07-15,27,0.00 
바보들의 행진,1975-05-31,27,0.00 
오페라-투란도트(메트로폴리탄),2010-01-10,27,0.00 
역마차,,27,0.00 
셜록홈즈: 비밀병기,,27,0.00 
맘마미아!,2008-09-03,27,0.00 
사랑하는 사람아,1981-02-27,26,0.00 
멀홀랜드 드라이브,2001-11-30,26,0.00 
벙어리 삼룡이,1964-11-13,26,0.00 
내시,,26,0.00 
스잔나,1981-07-17,26,0.00 
삼포가는 길,1975-05-23,26,0.00 
외팔이,,26,0.00 
시노비,,26,0.00 
비스트 스토커 2 - <증인> 두 번째 이야기,2010-11-11,25,0.00 
미워도 다시 한번 '80 제2부,1981-05-30,25,0.00 
나는 행복합니다,2009-11-26,25,0.00 
더 폴: 오디어스와 환상의 문,2008-12-04,25,0.00 
미워도 다시 한번,1968-07-16,25,0.00 
라벤더의 연인들,2008-07-03,24,0.00 
"마지막 사랑, 첫사랑",,24,0.00 
씨받이,1987-03-21,24,0.00 
2010 부산국제단편영화제,2010-05-12,24,0.00 
파라노말 포제션,2010-08-12,24,0.00 
우리 시대의 프랑스 영화 특별전,,23,0.00 
제5회 국제대학생평화영화제,2010-10-27,23,0.00 
잘 알지도 못하면서,2009-05-14,22,0.00 
마법의 세계 녹터나,2009-08-27,22,0.00 
인디애니페스트 2010_한국,,21,0.00 
보이 A,2009-05-21,21,0.00 
하얀전쟁,1992-07-04,21,0.00 
2010 3D한국국제영화제,2010-10-13,21,0.00 
나의 불행에는 이유가 있다,2010-11-25,21,0.00 
셜록홈즈: 녹색옷의 여인,,21,0.00 
2010 한국영화아카데미 영화제,2010-02-04,21,0.00 
초대받은 사람들,1981-10-24,21,0.00 
슬픔은 그대 가슴에,1999-05-08,20,0.00 
히어로,2010-11-18,20,0.00 
"2010년 시네프랑스 3, 4월",,20,0.00 
브로크백 마운틴,2006-03-01,20,0.00 
빙점,1967-06-15,20,0.00 
서울아트시네마-2010 서울LGBT영화제,2010-06-02,20,0.00 
쿼바디스,1973-01-13,20,0.00 
홍상수 감독전,,19,0.00 
P.S 온리 유,2010-02-25,19,0.00 
공주천마신상옥청년영화제 수상작특별전,,19,0.00 
21세기 우리 시대의 영화 특별전,2010-10-09,19,0.00 
남승석 감독 특별전,2010-09-16,19,0.00 
장선우 특별전,,19,0.00 
엄지아빠,2010-09-02,19,0.00 
먹고 기도하고 사랑하라+레터스 투 줄리엣+적인걸: 측천무후의 비밀,2010-10-07,19,0.00 
도쿄 랑데뷰,2010-01-28,19,0.00 
메리 크리스마스,2007-12-20,19,0.00 
하이퍼텍나다 [에로티시즘 영화제],2010-06-23,18,0.00 
섹스 파티 그리고 거짓말,2010-06-17,18,0.00 
[인디포럼 월례비행] 레인보우,,18,0.00 
"색, 계",2007-11-08,18,0.00 
바람,2009-11-26,18,0.00 
2010칸국제광고제 미공개본,,17,0.00 
우주의 신비,2008-07-03,17,0.00 
생활의 발견,2002-03-21,17,0.00 
섹스 앤 데스,2010-02-04,17,0.00 
시네마정동-아이언맨 2+구르믈 버서난 달처럼+허트 로커,2010-04-29,17,0.00 
"지금, 이대로가 좋아요",2009-04-23,17,0.00 
밀양,2007-05-23,17,0.00 
