영화명,개봉일,스크린수,스크린점유율
파티,,1,0.00 
약속,,1,0.00 
무협,2011-11-17,1,0.00 
그날이 오면,,1,0.00 
오싹한 연애,2011-12-01,1,0.00 
오테사넥,,1,0.00 
초콜릿,2001-02-23,1,0.00 
샤워,,1,0.00 
백작부인,1971-11-05,1,0.00 
편지,,1,0.00 
로제타,,1,0.00 
오래된 꿈,,1,0.00 
나는 집으로 돌아가리라,,1,0.00 
나의 어린 시절 뽀르또,,1,0.00 
영국 여인과 공작,,1,0.00 
용감한 자에게 안식은 없다,,1,0.00 
야마카시 2,2017-02-02,1,0.00 
토킹 픽처,,1,0.00 
다이렉트 액션,,1,0.00 
영광의 탈출,,1,0.00 
불확실성의 원리,,1,0.00 
벨빌의 세 쌍둥이,2016-10-27,1,0.00 
칠드런 오브 맨,2016-09-22,1,0.00 
"세브린느, 38년 후",,1,0.00 
로스트 인 베이징,2012-07-12,1,0.00 
때가 되었다,,1,0.00 
마법의 거울,,1,0.00 
원 데이,2012-12-13,1,0.00 
노인과 바다,,1,0.00 
흑기사,1973-10-24,1,0.00 
돌아오지 않는 강,1971-04-27,1,0.00 
쿼바디스,1973-01-13,1,0.00 
겨울 이야기,,1,0.00 
왕과 나,,1,0.00 
하이 눈,,1,0.00 
에덴의 동쪽,1973-02-22,1,0.00 
데미트리아스,1977-02-18,1,0.00 
엘 시드,1971-09-21,1,0.00 
당산대형,1973-10-28,1,0.00 
해리의 소동,,1,0.00 
부초,,1,0.00 
화이트 크리스마스,,1,0.00 
레오파드,,1,0.00 
시저와 클레오파트라,,1,0.00 
두 여인,,1,0.00 
베라크루스,1971-02-13,1,0.00 
황야의 7인,1972-11-02,1,0.00 
북극의 제왕,2011-01-18,1,0.00 
빅건,1974-01-20,1,0.00 
타겟트,1972-11-19,1,0.00 
잔다르크,,1,0.00 
안소니퀸의 길,,1,0.00 
유리씨즈,1975-12-27,1,0.00 
우리 학교,2007-03-29,1,0.00 
노틀담의 꼽추,1971-07-31,1,0.00 
127시간,2011-02-17,1,0.00 
초대받지 않은 손님,1972-06-22,1,0.00 
브라보! 재즈 라이프,2010-12-16,1,0.00 
무기여 잘 있거라,1974-01-01,1,0.00 
OK 목장의 결투,,1,0.00 
로마의 휴일,,1,0.00 
아이 엠 러브,2011-01-20,1,0.00 
붉은 살의,,1,0.00 
대장 부리바,1973-06-29,1,0.00 
"도라,도라,도라",1971-06-18,1,0.00 
세인트 루이스에서 만나요,,1,0.00 
아킬레스와 거북이,,1,0.00 
머나먼 서부,,1,0.00 
라이안의 처녀,1972-02-29,1,0.00 
어둠속의 댄서,2001-02-24,1,0.00 
메리 포핀스,1975-12-24,1,0.00 
메멘토,2001-08-24,1,0.00 
아파치요새,1971-05-01,1,0.00 
쾌걸 조로,,1,0.00 
스팔타카스,1974-01-23,1,0.00 
샤우트,1977-01-01,1,0.00 
누구를 위하여 종은 울리나,1972-03-18,1,0.00 
기적,1972-12-23,1,0.00 
포켓에 가득찬 행복,,1,0.00 
정오의 출격,,1,0.00 
갈채,,1,0.00 
무서운 아이들,,1,0.00 
마르코 폴로의 모험,,1,0.00 
북위 49도선,,1,0.00 
잃어버린전설,,1,0.00 
북을 울려라,,1,0.00 
한밤의 암살자,,1,0.00 
맹룡과강,1974-10-11,1,0.00 
학이 난다,,1,0.00 
백주의 결투,,1,0.00 
고갈,2009-09-03,1,0.00 
녹색광선,,1,0.00 
워낭소리,2009-01-15,1,0.00 
호우시절,2009-10-08,1,0.00 
부당거래,2010-10-28,1,0.00 
오월愛,2011-05-12,1,0.00 
점박이:한반도의 공룡3D,2012-01-26,1,0.00 
"혜화, 동",2011-02-17,1,0.00 
작은 오빠,,1,0.00 
원 나잇 스탠드,2010-05-04,1,0.00 
3xFTM,2009-06-04,1,0.00 
소중한 날의 꿈,2011-06-23,1,0.00 
파수꾼,2011-03-03,1,0.00 
고고 70,2008-10-03,1,0.00 
데스노트 L: 새로운 시작,2008-02-21,1,0.00 
미쓰 홍당무,2008-10-16,1,0.00 
도화선,2008-06-12,1,0.00 
혈맥,,1,0.00 
마이 제너레이션,2004-12-03,1,0.00 
모던보이,2008-10-02,1,0.00 
광란의 사랑,1991-03-16,1,0.00 
천리주단기,2006-07-20,1,0.00 
레이디 채털리,2007-07-11,1,0.00 
인랜드 엠파이어,2007-07-26,1,0.00 
러브 인 클라우즈,2008-12-31,1,0.00 
가족의 탄생,2006-05-18,1,0.00 
신데렐라,2006-08-17,1,0.00 
다케시즈,2006-12-07,1,0.00 
메리 크리스마스,2007-12-20,1,0.00 
밀양,2007-05-23,1,0.00 
용호문,2007-05-10,1,0.00 
스틸라이프,2007-06-14,1,0.00 
아멜리에,2001-10-19,1,0.00 
언페이스풀,2002-08-21,1,0.00 
돌이킬 수 없는,2003-04-04,1,0.00 
배틀로얄,2002-04-05,1,0.00 
택시 3,2003-04-25,1,0.00 
복수는 나의 것,2002-03-28,1,0.00 
아이 엠 샘,2002-10-17,1,0.00 
태양은 없다,1999-01-01,1,0.00 
향수 : 어느 살인자의 이야기,2007-03-22,1,0.00 
기막힌 사내들,1998-08-22,1,0.00 
우리에게 내일은 없다,2007-05-17,1,0.00 
저주받은 자들,,1,0.00 
벨리시마,,1,0.00 
로코와 그의 형제들,,1,0.00 
8월의 크리스마스,1998-01-24,1,0.00 
벨벳 골드마인,1999-08-28,1,0.00 
박하사탕,2000-01-01,1,0.00 
우리들의 이야기,,1,0.00 
모정,1972-12-09,1,0.00 
내가 마지막 본 파리,2011-02-07,1,0.00 
고양이를 부탁해,2001-10-12,1,0.00 
반칙왕,2000-02-04,1,0.00 
만추,2011-02-17,1,0.00 
꽃잎,1996-04-05,1,0.00 
넘버 3,1997-08-02,1,0.00 
낮은 목소리 2,1997-08-22,1,0.00 
루드비히,,1,0.00 
순수한 사람들,,1,0.00 
콰이강의 다리,1962-11-03,1,0.00 
디 아워스,2003-02-21,1,0.00 
투게더,2003-03-14,1,0.00 
집으로...,2002-04-04,1,0.00 
시,2010-05-13,1,0.00 
레터스 투 줄리엣,2010-10-06,1,0.00 
우린 액션배우다,2008-08-28,1,0.00 
아름다운 청년 전태일,1995-11-18,1,0.00 
나에게 오라,1996-03-23,1,0.00 
모던 타임즈,1988-07-02,1,0.00 
나쁜 영화,1997-08-02,1,0.00 
우나기,1999-05-01,1,0.00 
키즈 리턴,2000-09-28,1,0.00 
사랑과 슬픔의 여로,1992-08-08,1,0.00 
레이닝 스톤,1999-07-17,1,0.00 
돌스,2003-10-24,1,0.00 
쥴 앤 짐,1997-01-04,1,0.00 
토니 타키타니,2005-09-22,1,0.00 
내 친구의 집은 어디인가,1996-08-17,1,0.00 
황태자의 첫사랑,,1,0.00 
노스 컨츄리,2006-04-27,1,0.00 
피와 뼈,2005-02-25,1,0.00 
불안,2005-06-10,1,0.00 
우주전쟁,2005-07-07,1,0.00 
빙 줄리아,2005-10-27,1,0.00 
친절한 금자씨,2005-07-29,1,0.00 
"지금, 만나러 갑니다",2005-03-25,1,0.00 
타임 투 리브,2006-02-09,1,0.00 
쉬즈 더 원,2010-07-15,1,0.00 
무슈 클라인,,1,0.00 
웨스트 사이드 스토리,1999-05-29,1,0.00 
욕망의 모호한 대상,1999-03-27,1,0.00 
나라야마 부시코,1999-10-30,1,0.00 
500일의 썸머,2010-01-21,1,0.00 
적인걸: 측천무후의 비밀,2010-10-06,1,0.00 
카사블랑카,1999-04-03,1,0.00 
강박충동,,1,0.00 
나무없는 산,2009-08-27,1,0.00 
야반가성,1996-01-27,1,0.00 
나의 아름다운 세탁소,1996-06-15,1,0.00 
바이킹,,1,0.00 
참새들의 합창,2010-05-05,1,0.00 
보스턴 교살자,,1,0.00 
"소년, 소녀를 만나다",1996-01-13,1,0.00 
아들,2004-02-20,1,0.00 
21 그램,2004-10-23,1,0.00 
이노센스,2004-10-08,1,0.00 
"조제, 호랑이 그리고 물고기들",2004-10-29,1,0.00 
시월애,2000-09-09,1,0.00 
거미숲,2004-09-03,1,0.00 
비키퍼,2004-10-27,1,0.00 
자토이치,2004-01-30,1,0.00 
모두 하고 있습니까?,2004-08-06,1,0.00 
붉은 다리 아래 따뜻한 물,2004-04-30,1,0.00 
벨리 오브 비스트,2004-02-20,1,0.00 
진주 귀걸이를 한 소녀,2004-09-03,1,0.00 
몬스터,2004-06-18,1,0.00 
주홍글씨,2004-10-29,1,0.00 
"지금, 이대로가 좋아요",2009-04-23,1,0.00 
댄서의 순정,2005-04-28,1,0.00 
빠삐용,1974-09-07,1,0.00 
사과,2008-10-16,1,0.00 
매란방,2009-04-16,1,0.00 
"다시 태어나고 싶어요, 안양에",,1,0.00 
무산일기,2011-04-14,1,0.00 
레미제라블 디 오리지널,,1,0.00 
은하해방전선,2007-11-29,1,0.00 
살인의 추억,2003-04-25,1,0.00 
애심,1973-03-10,1,0.00 
피아골,1955-09-23,1,0.00 
자전거 탄 소년,2012-01-19,1,0.00 
케빈에 대하여,2012-07-26,1,0.00 
짐승의 끝,2011-03-17,1,0.00 
조금만 더 가까이,2010-10-28,1,0.00 
춘향뎐(春香傳),2000-01-29,1,0.00 
굿바이 보이,2011-06-02,1,0.00 
여로,,1,0.00 
그림자,2007-10-18,1,0.00 
플레이타임,,1,0.00 
젊은 사자들,,1,0.00 
세가지 색 : 블루,1994-04-23,1,0.00 
써니,2011-05-04,1,0.00 
발레 교습소,2004-12-03,1,0.00 
"장화, 홍련",2003-06-13,1,0.00 
초원의 빛,1972-03-18,1,0.00 
전설의 고향,2007-05-23,1,0.00 
...ing,2003-11-28,1,0.00 
두 개의 선,2012-02-09,1,0.00 
사랑을 카피하다,2011-05-05,1,0.00 
벙어리 삼룡이,1964-11-13,1,0.00 
동감,2000-05-27,1,0.00 
뜨거운 것이 좋아,2008-01-17,1,0.00 
종로의 기적,2011-06-02,1,0.00 
투 올드 힙합 키드,2012-09-13,1,0.00 
에비타,1997-02-07,1,0.00 
완득이,2011-10-20,1,0.00 
현금에 손대지 마라,,1,0.00 
제인 구달,2014-11-27,1,0.00 
샤오린 : 최후의 결전,2011-08-25,1,0.00 
강화도령,,1,0.00 
삼국지: 명장 관우,2011-05-19,1,0.00 
선라이즈,,1,0.00 
클리프 행어,1993-06-12,1,0.00 
"세헤라자드, 텔 미 어 스토리",,1,0.00 
쉬즈 더 원 2,,1,0.00 
어느날 밤에 생긴 일,,1,0.00 
씨민과 나데르의 별거,2011-10-13,1,0.00 
드라이브,2011-11-17,1,0.00 
안녕하세요,,1,0.00 
러브 미 텐더,,1,0.00 
살아남아라,,1,0.00 
마당을 나온 암탉,2011-07-28,1,0.00 
일루셔니스트,2011-06-16,1,0.00 
디아볼릭,,1,0.00 
나의 아저씨,,1,0.00 
차와 동정,,1,0.00 
피로,,1,0.00 
밍크코트,2012-01-12,1,0.00 
검은 수선화,,1,0.00 
킬리만자로의 눈,,1,0.00 
아내여 장미처럼,,1,0.00 
엄마,,1,0.00 
흐르다,,1,0.00 
여자가 계단을 오를 때,,1,0.00 
방랑기,,1,0.00 
만국,,1,0.00 
흐트러지다,,1,0.00 
흐트러진 구름,,1,0.00 
남과 여,1979-10-03,1,0.00 
마이클 콜린스,1997-01-18,1,0.00 
버티컬 리미트,2001-01-13,1,0.00 
왓 위민 원트,2001-01-13,1,0.00 
잉글리쉬 페이션트,1997-03-15,1,0.00 
말레나,2001-03-09,1,0.00 
퀼스,2001-03-17,1,0.00 
콘에어,1997-06-28,1,0.00 
A.I.,2001-08-10,1,0.00 
꼬마돼지 베이브 2,2000-02-19,1,0.00 
에어 포스 원,1997-09-13,1,0.00 
여인의초상,1997-11-01,1,0.00 
빅 나이트,1997-11-08,1,0.00 
아가씨와 건달들,1997-11-15,1,0.00 
스타쉽 트루퍼스,1997-11-29,1,0.00 
내안의남자,1997-12-06,1,0.00 
아나스타샤,1997-12-20,1,0.00 
러브 오브 시베리아,2000-10-14,1,0.00 
춤추는 대뉴욕,,1,0.00 
시간을 달리는 소녀,2007-06-14,1,0.00 
소나티네,2000-01-08,1,0.00 
드라큐라,1993-01-16,1,0.00 
미저리,1991-03-01,1,0.00 
늑대와 춤을,1991-03-31,1,0.00 
인생은 아름다워,1999-03-06,1,0.00 
레미제라블,1999-03-13,1,0.00 
"색, 계",2007-11-08,1,0.00 
가위손,1991-06-29,1,0.00 
매그놀리아,2000-04-15,1,0.00 
햄릿,1992-05-23,1,0.00 
사랑의 슬픔 애수,2000-04-22,1,0.00 
라 비 앙 로즈,2007-11-21,1,0.00 
벌집의 정령,,1,0.00 
환타지아2000,2000-08-05,1,0.00 
K2,1993-05-01,1,0.00 
버팔로 `66,2000-09-23,1,0.00 
뮤직 오브 하트,2000-10-21,1,0.00 
집으로 가는길,2000-11-04,1,0.00 
오씨,1993-07-17,1,0.00 
제로니모,1994-05-21,1,0.00 
해리슨 포드의 도망자,1993-09-11,1,0.00 
슬픔은 그대 가슴에,1999-05-08,1,0.00 
나일의 대모험,1991-10-19,1,0.00 
베로니카의 이중생활,1991-11-09,1,0.00 
푸줏간 소년,1999-06-19,1,0.00 
노팅 힐,1999-07-03,1,0.00 
분노의 역류,1991-08-03,1,0.00 
성월동화,1999-08-28,1,0.00 
애수,,1,0.00 
마담 보봐리,1992-12-24,1,0.00 
애나 앤드 킹,1999-12-31,1,0.00 
백발 마녀전,1993-09-25,1,0.00 
사선에서,1993-09-25,1,0.00 
비터문,1993-09-25,1,0.00 
피아노,1993-09-25,1,0.00 
타이타닉,1998-02-20,1,0.00 
이보다 더 좋을 순 없다,1998-03-14,1,0.00 
굿 윌 헌팅,1998-03-21,1,0.00 
비포 선라이즈,1996-03-30,1,0.00 
풀 몬티,1998-04-11,1,0.00 
사랑의 행로,1992-12-12,1,0.00 
어퓨굿맨,1992-12-18,1,0.00 
더 록,1996-07-13,1,0.00 
여름이야기,1998-06-13,1,0.00 
미세스 다웃파이어,1994-01-22,1,0.00 
순수의 시대,1994-09-17,1,0.00 
그린 파파야 향기,1994-07-30,1,0.00 
사랑의 용기,1992-04-18,1,0.00 
불멸의 연인,1995-01-28,1,0.00 
쇼생크 탈출,1995-02-04,1,0.00 
화이트,1994-06-18,1,0.00 
전함 포템킨,1994-10-15,1,0.00 
내 책상 위의 천사,1994-10-15,1,0.00 
아라비아의 로렌스,1998-10-24,1,0.00 
포레스트 검프,1994-10-15,1,0.00 
벅스 라이프,1998-12-12,1,0.00 
레옹,1995-02-18,1,0.00 
인도차이나,1992-07-11,1,0.00 
작은 아씨들,1995-03-18,1,0.00 
금지된 장난,1992-09-26,1,0.00 
헨리 밀러의 북회귀선,1995-04-22,1,0.00 
인셉션,2010-07-21,1,0.00 
기적의 오케스트라 - 엘 시스테마,2010-08-12,1,0.00 
킹콩,2005-12-14,1,0.00 
아무도 모르게,1991-04-13,1,0.00 
브레이브 하트,1995-06-17,1,0.00 
금옥만당,1995-06-24,1,0.00 
라파누이,1995-07-15,1,0.00 
카멜롯의 전설,1995-07-22,1,0.00 
퀵 앤 데드,1995-09-16,1,0.00 
이유없는 반항,1971-03-26,1,0.00 
세븐,1995-11-11,1,0.00 
스위티,1995-12-16,1,0.00 
레전드 오브 래빗,2012-02-22,1,0.00 
9월이 오면,,1,0.00 
나바론 요새,1974-07-20,1,0.00 
이수,,1,0.00 
처녀의 샘,,1,0.00 
정사,,1,0.00 
황야의 역마차,,1,0.00 
여심,,1,0.00 
베이비 돌,,1,0.00 
로맨스 조,2012-03-08,1,0.00 
토리노의 말,2012-02-23,1,0.00 
가을의 전설,1995-03-18,1,0.00 
금병매2,2017-02-13,1,0.00 
나는 살고 싶다,,1,0.00 
노웨이 아웃,1988-11-17,1,0.00 
달콤한 인생,,1,0.00 
라스베가스를 떠나며,1996-03-01,1,0.00 
비애,,1,0.00 
멀고 먼 다리,1977-12-16,1,0.00 
바람에 쓴 편지,,1,0.00 
북북서로 진로를 돌려라,,1,0.00 
사하라,,1,0.00 
살인자들,,1,0.00 
시민 케인,,1,0.00 
썸머타임,,1,0.00 
아파치,,1,0.00 
영웅본색 3,1989-12-23,1,0.00 
오명,,1,0.00 
왼손잡이 권총,,1,0.00 
요짐보,,1,0.00 
윌로씨의 휴가,2008-07-01,1,0.00 
어페어 투 리멤버,,1,0.00 
장미의 이름,1989-06-03,1,0.00 
전우여 다시한번,,1,0.00 
쥬발,,1,0.00 
파업,,1,0.00 
피아니스트의 전설,,1,0.00 
피크닉,,1,0.00 
한니발,,1,0.00 
혼도,,1,0.00 
흑인 오르페,,1,0.00 
여행자,,1,0.00 
페노미나,1989-08-05,1,0.00 
에스케이프 아테네,1981-05-02,1,0.00 
너는 내 운명,1980-03-28,1,0.00 
만딩고,1980-08-30,1,0.00 
크레이머 크레이머,1980-09-12,1,0.00 
자유의 이차선,,1,0.00 
마지막 찻잔,1979-07-06,1,0.00 
을화,1979-09-28,1,0.00 
죽음보다 깊은 잠,1979-12-07,1,0.00 
어느 여대생의 고백,,1,0.00 
나바론 2,,1,0.00 
더티 해리3-집행자,1979-03-25,1,0.00 
페세이지,1979-07-05,1,0.00 
족보,1979-09-14,1,0.00 
죠스,1978-04-22,1,0.00 
사망유희,1978-05-18,1,0.00 
25시,1978-07-07,1,0.00 
캐리,1978-09-17,1,0.00 
마라톤맨,1978-09-15,1,0.00 
야곱 신부의 편지,2012-05-10,1,0.00 
토요일 밤의 열기,1978-09-17,1,0.00 
지옥의 특전대,1978-12-09,1,0.00 
레이드 : 첫번째 습격,2012-05-17,1,0.00 
백야,2012-11-15,1,0.00 
블루 발렌타인,2012-05-31,1,0.00 
관상,2013-09-11,1,0.00 
화차,2012-03-08,1,0.00 
별난 인연,,1,0.00 
그림자들,,1,0.00 
그린 맨션,,1,0.00 
야행,1977-04-23,1,0.00 
캐빈 인 더 우즈,2012-06-28,1,0.00 
카메라맨,,1,0.00 
후궁 : 제왕의 첩,2012-06-06,1,0.00 
말리,2012-08-02,1,0.00 
대해적,1977-04-30,1,0.00 
미드웨이,1977-07-15,1,0.00 
길은 멀어도 마음만은,1977-07-16,1,0.00 
써스페리아,1977-09-15,1,0.00 
전쟁과 평화,1977-09-27,1,0.00 
명탐정 코난: 11번째 스트라이커,2012-07-19,1,0.00 
남사당,1975-04-19,1,0.00 
가을 소나타,2012-03-22,1,0.00 
레지던트 이블 5 : 최후의 심판,2012-09-13,1,0.00 
돼지와 군함,,1,0.00 
인시디어스,2012-09-13,1,0.00 
두 개의 문,2012-06-21,1,0.00 
남영동1985,2012-11-22,1,0.00 
삼포가는 길,1975-05-23,1,0.00 
"동학, 수운 최제우",2012-06-28,1,0.00 
러브,2012-08-09,1,0.00 
도둑,,1,0.00 
훌리오와 에밀리아,2012-08-30,1,0.00 
서칭 포 슈가맨,2012-10-11,1,0.00 
무법지대,,1,0.00 
영광의 결전,,1,0.00 
부러진 화살,,1,0.00 
정염의 검사,,1,0.00 
로즈마리,,1,0.00 
백조,,1,0.00 
사랑하는 시바여 돌아오라,,1,0.00 
애욕과 전장,,1,0.00 
보와니의 분기점,,1,0.00 
여호,,1,0.00 
거인,,1,0.00 
이웃사람,2012-08-22,1,0.00 
"광해, 왕이 된 남자",2012-09-13,1,0.00 
줄리어스 시저,,1,0.00 
마담 보바리,,1,0.00 
도주왕,2012-09-13,1,0.00 
산,,1,0.00 
인류학 입문,,1,0.00 
끝없는 욕망,,1,0.00 
황혼의 결투,,1,0.00 
나는 결백하다,,1,0.00 
필사의 도망자,,1,0.00 
상류사회,,1,0.00 
트로이의 헤렌,,1,0.00 
알렉산더대왕,,1,0.00 
태양을 향해 달려라,,1,0.00 
추억의 장미,,1,0.00 
회전목마,,1,0.00 
불타는 전장,,1,0.00 
보리수,,1,0.00 
라폴로니드 : 관용의집,2012-09-20,1,0.00 
회색 양복을 입은 사나이,,1,0.00 
리차드 3세,,1,0.00 
전함 슈퍼호의 최후,,1,0.00 
지슬 - 끝나지 않은 세월2,2013-03-21,1,0.00 
비상착륙,,1,0.00 
파괴자들,2012-10-31,1,0.00 
해는 또다시 뜬다,,1,0.00 
웰랑 뜨레이,,1,0.00 
저지드레드 3D,2012-12-06,1,0.00 
혈투의 게곡,,1,0.00 
아녜스의 해변,,1,0.00 
아이거 빙벽,,1,0.00 
줄리아,,1,0.00 
바람,,1,0.00 
엔딩노트,2012-11-29,1,0.00 
애정이 꽃피는 나무,,1,0.00 
오르페우스,,1,0.00 
심플 라이프,2012-11-22,1,0.00 
체 게바라 : 뉴맨,2012-11-29,1,0.00 
둘로 잘린 소녀,,1,0.00 
아름다운 5월,,1,0.00 
시간의 흐름 속으로,,1,0.00 
라 붐,2013-10-24,1,0.00 
종착역,,1,0.00 
홀리 모터스,2013-04-04,1,0.00 
철부지 아씨,1968-03-14,1,0.00 
격퇴,1956-04-04,1,0.00 
새,,1,0.00 
오발탄,1961-04-13,1,0.00 
달팽이의 별,2012-03-22,1,0.00 
차이니즈 조디악,2013-02-27,1,0.00 
그리고 싶은 것,2013-08-15,1,0.00 
적인걸2 : 신도해왕의 비밀,2013-10-02,1,0.00 
"낯선 곳, 낯선 시간",,1,0.00 
나의 교실,,1,0.00 
작은 아씨들,,1,0.00 
셰임,2013-05-09,1,0.00 
대지,,1,0.00 
뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,1,0.00 
코알라,2013-10-24,1,0.00 
폭풍의 언덕,2012-06-28,1,0.00 
러스트 앤 본,2013-05-02,1,0.00 
어네스트와 셀레스틴,2014-02-20,1,0.00 
다이노 타임,2015-04-30,1,0.00 
스토커,2013-02-28,1,0.00 
금병매,2016-09-08,1,0.00 
가슴에 빛나는 별,,1,0.00 
정복되지 않는 사람들,,1,0.00 
스톤 부인의 로마의 봄,,1,0.00 
레옹 모랭 신부,,1,0.00 
레베카,,1,0.00 
천국이 허락한 모든 것,,1,0.00 
로마 제국의 멸망,,1,0.00 
브룩클린의 나무 성장,,1,0.00 
봄 이야기,,1,0.00 
뮤직 룸,,1,0.00 
사요나라,,1,0.00 
분노의 강,,1,0.00 
퀴리부인,,1,0.00 
버터필드 8,,1,0.00 
미녀와 야수,,1,0.00 
청연,2005-12-29,1,0.00 
파닥파닥,2012-07-25,1,0.00 
블랑섹의 기이한모험,2013-02-07,1,0.00 
암행어사 박문수,,1,0.00 
거미의 땅,2016-01-14,1,0.00 
Out : 이반검열 두 번째 이야기,,1,0.00 
엠마뉴엘 2,1995-05-20,1,0.00 
성의,1986-12-31,1,0.00 
상과 하,,1,0.00 
사형수 탈옥하다,,1,0.00 
사막의 여우 롬멜,,1,0.00 
사랑아 나는 통곡한다,,1,0.00 
빗속의 방문객,,1,0.00 
신부의 아버지,,1,0.00 
스펠바운드,,1,0.00 
환상의 빛,2016-07-07,1,0.00 
거상의 길,,1,0.00 
나의 속마음,,1,0.00 
꿈,,1,0.00 
길다,,1,0.00 
옥스보우 인서던트,,1,0.00 
뜨거운 것이 좋아,,1,0.00 
노틀담의 꼽추,,1,0.00 
월터의 선택,,1,0.00 
데스티네이션 도쿄,,1,0.00 
이중배상,,1,0.00 
붉은 사막,,1,0.00 
닻을 올리고,,1,0.00 
붉은 수수밭,1989-09-09,1,0.00 
당신이 떠난 후,,1,0.00 
황색리본,,1,0.00 
야생의 순수,,1,0.00 
파티걸,,1,0.00 
고독한 영혼,,1,0.00 
그들은 밤에 산다,,1,0.00 
오셀로,,1,0.00 
비념,2013-04-03,1,0.00 
내일을 향해 쏴라,,1,0.00 
왕중왕,,1,0.00 
유주얼 서스펙트,1996-01-27,1,0.00 
미스터 고,2013-07-17,1,0.00 
론 레인저,2013-07-04,1,0.00 
말타의 매,,1,0.00 
지난 여름 갑자기,,1,0.00 
복수는 나의것,,1,0.00 
잠 못 드는 밤,2013-05-30,1,0.00 
환상속의 그대,2013-05-16,1,0.00 
프렌치 캉캉,,1,0.00 
탐욕,,1,0.00 
해바라기,1982-11-14,1,0.00 
앤젤스 셰어: 천사를 위한 위스키,2013-05-16,1,0.00 
파티51,2014-12-11,1,0.00 
토탈리콜,1990-12-19,1,0.00 
깊은 밤 갑자기,1981-07-17,1,0.00 
그대품에 다시한번,1988-11-26,1,0.00 
귀여운 여인,1990-09-15,1,0.00 
파멸,,1,0.00 
헤라클레스,,1,0.00 
파티마의 기적,,1,0.00 
포스트맨은 벨을 두번 울린다,,1,0.00 
폭풍의 언덕,,1,0.00 
가스등,,1,0.00 
프라미스드 랜드,2013-12-12,1,0.00 
위 캔 두 댓!,,1,0.00 
사랑에 빠진 것처럼,2013-10-17,1,0.00 
꼭두각시,2013-06-20,1,0.00 
해밀턴 부인,,1,0.00 
개선문,,1,0.00 
수색,,1,0.00 
해양천국,,1,0.00 
인 더 하우스,2013-07-04,1,0.00 
잡스,2013-08-29,1,0.00 
천국과 지옥,,1,0.00 
경복,2013-07-11,1,0.00 
신사는 금발을 좋아해,,1,0.00 
풋루즈,,1,0.00 
오케스트라의 소녀,,1,0.00 
마지막 4중주,2013-07-25,1,0.00 
카라마조프가의 형제들,,1,0.00 
대해적,,1,0.00 
꽁치의 맛,,1,0.00 
그랑블루 리마스터링 감독판,2013-07-25,1,0.00 
플레이스 비욘드 더 파인즈,2013-08-01,1,0.00 
탱고 위드 미,2013-08-29,1,0.00 
네이비씰: 어둠의 전쟁,2017-01-12,1,0.00 
그랜 토리노,2009-03-19,1,0.00 
신밧드의 7대 모험,2013-08-08,1,0.00 
가베,1998-01-01,1,0.00 
페르소나,2013-07-25,1,0.00 
카산드라 크로스,1977-01-01,1,0.00 
장강7호 : 내친구 마법요정,2013-08-22,1,0.00 
나는 두 살,,1,0.00 
정무문,1973-07-27,1,0.00 
우리 곁의 동물들 단편 모음,,1,0.00 
동사서독 리덕스,2013-12-05,1,0.00 
쾌락의 공범자들,,1,0.00 
레드 갭의 러글스,,1,0.00 
여자의 일생,,1,0.00 
러시 : 더 라이벌,2013-10-09,1,0.00 
링,2013-07-25,1,0.00 
깁슨 가족 연대기,,1,0.00 
스파이,2013-09-05,1,0.00 
파스카,2015-07-09,1,0.00 
안녕?! 오케스트라,2013-11-28,1,0.00 
장군의 아들,1990-06-09,1,0.00 
안개마을,1983-02-12,1,0.00 
말하는 건축 시티:홀,2013-10-24,1,0.00 
까미유 끌로델,2013-10-24,1,0.00 
하녀,1960-11-03,1,0.00 
빅 트리,,1,0.00 
백야의 탈출,,1,0.00 
우리가 들려줄 이야기,2014-03-13,1,0.00 
메탈리카 스루 더 네버,2013-11-14,1,0.00 
로렌스 애니웨이,2013-12-19,1,0.00 
텔레비전,2013-11-07,1,0.00 
원탁의 기사,,1,0.00 
운명의 산 낭가 파르밧,2013-12-12,1,0.00 
"시바, 인생을 던져",2013-12-19,1,0.00 
잉여들의 히치하이킹,2013-11-28,1,0.00 
하오의 연정,,1,0.00 
전송가,,1,0.00 
영 앤 뷰티풀,2013-12-05,1,0.00 
어바웃 타임,2013-12-05,1,0.00 
변호인,2013-12-18,1,0.00 
들개,2014-04-03,1,0.00 
장희빈,,1,0.00 
오즈의 마법사,2012-05-03,1,0.00 
행복한 사전,2014-02-20,1,0.00 
거리의 공황,,1,0.00 
특수경찰: 스페셜 ID,2014-01-09,1,0.00 
더 울프 오브 월스트리트,2014-01-09,1,0.00 
황야의 난폭자,,1,0.00 
"자, 이제 댄스타임",2014-06-26,1,0.00 
망원동 인공위성,2015-02-05,1,0.00 
넛잡: 땅콩 도둑들,2014-01-29,1,0.00 
제인 에어,,1,0.00 
더스트 오브 타임,,1,0.00 
제5제국,,1,0.00 
환호성,,1,0.00 
수상한 그녀,2014-01-22,1,0.00 
바나자,,1,0.00 
호수의 이방인,,1,0.00 
삼중 스파이,,1,0.00 
굿모닝 맨하탄,2014-02-06,1,0.00 
저주의 카메라,,1,0.00 
인터멧조,,1,0.00 
굿바이 마이 라이프,,1,0.00 
우리들은 정의파다,,1,0.00 
